Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\BlissAlarm\Project Outputs for BlissAlarm\Pick Place\Pick Place for BlissAlarm(Build_Alt).txt

========================================================================================================================
File Design Information:

Date:       17/10/23
Time:       01:41
Revision:   1464170ddc047e390aa211adf6531b3effb172d2
Variant:    Build_Alt
Units used: mil

Designator Comment                      Layer    Footprint                       Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                       
R2         "RES 0603 27 1%"             TopLayer 0603_RES                        562.006       1534.496      0        "Resistor Surface Mount, 27 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                              
R1         "RES 0603 27 1%"             TopLayer 0603_RES                        563.976       1599.665      0        "Resistor Surface Mount, 27 Ohms, 0603 Footprint, 1% Tolerance 0.1W"                                                              
Q1         IRLML0040TRPBF               TopLayer FP-SOT23-MFG                    2233.294      1765.516      180      "Power Field-Effect Transistor, 3.6A I(D), 40V, 0.056ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET, TO-236AB" 
L1         744311100                    TopLayer WE-HCI_7040                     740.748       2054.173      90       "General Purpose Inductor, 1uH, 20%, 1 Element, SMD, 2827"                                                                        
JP15       "0603 link (Open)"           TopLayer 0603_JP_Open                    154.535       1912.441      270      "0O link, Solder Bridge/SMD, Open"                                                                                                
JP14       "0603 link (Open)"           TopLayer 0603_JP_Open                    210.874       1758.990      90       "0O link, Solder Bridge/SMD, Open"                                                                                                
J7         S4B-PH-SM4-TB                TopLayer S4B-PH-SM4-TB-Footprint-1       1448.349      207.999       180      "Header S4B-PH-SM4-TB, 2.00mm, 4-contacts, side entry, SMT, /1000/reel"                                                           
J6         693071020811                 TopLayer 693071020811                    392.974       524.671       270      "WR-CRD Micro SD Card Connector Push & Push"                                                                                      
J5         "ARM Cortex Debug"           TopLayer FTSH-105-01-F-DV-007-K_PLUGIN   1240.000      689.498       270      "10 Pin Shrouded Header, 0.050", Key Pin 7"                                                                                       
J4         S4B-PH-SM4-TB                TopLayer S4B-PH-SM4-TB-Footprint-1       1946.878      210.230       180      "Header S4B-PH-SM4-TB, 2.00mm, 4-contacts, side entry, SMT, /1000/reel"                                                           
J1         B2B-PH-SM4-TBT(LF)(SN)       TopLayer FP-B2B-PH-SM4-TBT_LF_SN-MFG     168.274       1064.539      90       "Connector Header, PH Series, 2 Position, 2.00mm, 100V, Surface Mount, Solder, Pick and Place, Natural."                          
FD4        "Fiducial 40x100mm"          TopLayer Fiducial_40x100mm-Footprint-1   2277.000      280.000       0        "Fiducial 40x100mm"                                                                                                               
FB1        BLM21PG221SN1                TopLayer 0805                            391.380       1383.410      0        "Ferrite Chip 2000 mA 220 Ohms Differential Mode - Single 0805 Footprint"                                                         
DN1        ECLAMP2410PQTCT              TopLayer ECLAMP2410PQTCT-Footprint-1     792.633       643.898       0        "Trans Voltage Suppressor Diode, 5V V(RWM), Bidirectional, 7 Element, Silicon with EMI Filter"                                    
D8         LSM0805452V                  TopLayer LED_0805                        511.628       2052.739      90       "Single Color LED, Green, 0805"                                                                                                   
D7         LSM0805412V                  TopLayer LED_0805_RED                    420.836       2052.741      90       "Single Color LED, RED, 0805"                                                                                                     
D6         LSM0805412V                  TopLayer LED_0805_RED                    1520.900      724.603       90       "Single Color LED, RED, 0805"                                                                                                     
D5         LSM0805452V                  TopLayer LED_0805                        1612.502      724.980       90       "Single Color LED, Green, 0805"                                                                                                   
D4         LSM0805452V                  TopLayer LED_0805                        1071.220      264.431       270      "Single Color LED, Green, 0805"                                                                                                   
D3         STPS360AFY                   TopLayer ST-SOD128FL                     723.088       1356.970      0        "Rectifier Diode, Schottky, 1 Phase, 1 Element, 60V V(RRM), Silicon"                                                              
D2         PRTR5V0U2X,215               TopLayer FP-SOT143B-NXP                  354.857       1549.176      270      "Trans Voltage Suppressor Diode, 5.5V V(RWM), Unidirectional, 1 Element, Silicon"                                                 
D1         LSM0805412V                  TopLayer LED_0805_RED                    983.095       1517.650      90       "Single Color LED, RED, 0805"                                                                                                     
C26        "CAP 0805 22UF 10V 20% X5R"  TopLayer 0805_CAP_60H                    1042.270      1885.849      90       "Capacitor Surface Mount 0805 Footprint 22UF 10V 20% Tolerance Ceramic X5R"                                                       
C25        "CAP 0805 22UF 10V 20% X5R"  TopLayer 0805_CAP_60H                    948.030       1885.104      90       "Capacitor Surface Mount 0805 Footprint 22UF 10V 20% Tolerance Ceramic X5R"                                                       
C24        "CAP 0805 10UF 16V 20% X7R"  TopLayer 0805_CAP_60H                    529.095       1813.198      90       "Capacitor Surface Mount 0805 Footprint 10UF 16V 20% Tolerance Ceramic X7R"                                                       
C23        "CAP 0603 0.1UF 16V 10% X7R" TopLayer 0603_CAP                        1914.228      1303.042      90       "Capacitor Surface Mount 0603 Footprint 0.1UF 16V 10% Tolerance Ceramic X7R"                                                      
